id,partner_name,party_type_id,partner_name_ja
1197,"ARMOR GAMES INC",2,
1204,"ARRAKIS NV",2,
1205,ARRAYANSOFT,2,
1213,"ART AND ALCHEMY LTD",2,
1216,ARTDINK,2,株式会社アートディンク
1219,"ARTEFACTS STUDIO S.A.R.L.",2,
1231,"ARTIFEX MUNDI S.A.",2,
1232,"ARTIFEX MUNDI SP. Z O.O.",2,
1241,"ARTMOVE,INC.",2,株式会社アートムーヴ
1245,"ARTPLANT AS",2,
1246,"ARTRIX LIMITED",2,
1251,"ARTURANIA LP",2,
1261,ASCENDLY,2,
1274,ASGARD,2,株式会社アスガルド
1283,"ASK AN ENEMY STUDIOS, LLC",2,
1286,"ASOBO STUDIO SARL",2,
1290,"ASPYR MEDIA",2,
1300,"ASTEROID BASE INC.",2,
1303,"ASTRAGON ENTERTAINMENT GMBH",2,
1304,"ASTROGUN LLC",2,
1315,"ATEO LTD",2,
1318,"AT KEARNEY",2,
1320,"ATLANTA GAME COOPERATIVE",2,
1321,"ATLANTA INTERNET CONSULTING, INC.",2,
1342,"ATOMIZER GAMES PTY LTD",2,
1360,"ATYPICAL GAMES S.R.L.",2,
1368,AUDIOGAMING,2,
1386,"AUROCH DIGITAL LIMITED",2,
1392,"AUTODESK LTD",2,
1409,AVANQUEST,2,
1410,"AVANQUEST SOFTWARE PUBLISHING LTD",2,
1426,"AWAKE DREAMS",2,
1428,"AWESOME GAMES STUDIO SP. Z O. O.",2,
1430,"AWESOME TECHNOLOGIES AS",2,
1433,"AWINS 88 GMBH & CO KG",2,
1449,"AYMAR CORNUT",2,
1452,"A Y SOFTWARE LTD",2,
1456,"AZENTIUM LLC",2,
1458,"AZURE DROP STUDIOS LLC",2,
1470,"BABEL MEDIA LIMITED",2,
1474,"BACKBONE ENTERTAINMENT",2,
1476,"BACON NECK GAMES",2,
1477,"BADFLY INTERACTIVE",2,
1478,"BADLAND GAMES",2,
1479,"BAD MINIONS",2,
1481,"BAD RHINO GAMES",2,
1482,"BADRI BEBUA",2,
1483,"BAD SEED SRL",2,
1490,"BAIL ENEMY JET PTY LTD",2,
1509,"BALLOON AND FRIENDS",2,
1515,"BAMTANG GAMES SAC",2,
1524,"BANDAI NAMCO ENTERTAINMENT KOREA",2,
1534,"BAOBAB STUDIOS INC",2,
1545,"BAROG LIMITED",2,
1553,"BARTOSZ LIPINSKI STEAM SKY",2,
1554,"BARTOSZ LOJEWSKI",2,
1558,"BASENJI LLC",2,
1570,"BATTLELINE GAMES LLC",2,
1592,"BEAMNG GMBH",2,
1594,"BEARCOWBOY LLC",2,
